job_name,company_name,companytype_text,providesalary_text,workarea_text,jobwelf,updatedate,attribute_text
淘宝客服,青岛鸿泰迩电子商务有限公司,创业公司,2-3千/月,青岛-市北区,,10-14,"['青岛-市北区', '无需经验', '招2人']"
亚马逊运营（日语）,广州鲲鹏跨境电子商务有限公司,民营公司,5-9千/月,广州-天河区,五险一金 员工旅游 带薪年假 节日福利 加班补贴 专业培训 年终奖金,10-14,"['广州-天河区', '1年经验', '本科', '招1人']"
项目助理,南京绿和信息技术有限公司,民营公司,0.8-1万/月,南京-鼓楼区,五险一金 年终奖金 餐饮补贴 定期体检,10-14,"['南京-鼓楼区', '2年经验', '大专', '招若干人']"
保底4000K包住宿账单提醒客服,安徽广盛企服信息科技有限公司,合资,6-8千/月,成都-高新区,做五休二 五险一金 全勤奖 节日福利 绩效奖金 专业培训 餐饮补贴 住房补贴 带薪年假,10-14,"['成都-高新区', '无需经验', '高中', '招20人']"
采购,江西义箪稻粱食品有限公司,民营公司,4.5-6千/月,南昌,通讯补贴 住房补贴 全勤奖 节日福利 团建 五险,10-14,"['南昌', '1年经验', '大专', '招2人']"
市场推广,南京紫泰旗健康管理有限公司,民营公司,0.6-1万/月,南京-江宁区,五险一金 餐饮补贴 全勤奖,10-14,"['南京-江宁区', '3-4年经验', '大专', '招2人']"
客户服务,枣庄惠付通电子科技有限公司,民营公司,3-6千/月,枣庄,通讯补贴 交通补贴 五险,10-14,"['枣庄', '无需经验', '大专', '招10人']"
分公司主管（佛山）,广东谷通科技有限公司,民营公司,1-1.2万/月,佛山-三水区,股票期权 五险 带薪年假 加班补贴,10-14,"['佛山-三水区', '2年经验', '大专', '招1人']"
助理美术指导,深圳市普方立民科技有限公司广州分公司,民营公司,1-1.5万/月,广州-天河区,五险一金 员工旅游 年终奖金 零食,10-14,"['广州-天河区', '3-4年经验', '大专', '招1人']"
早九晚六/周末双休/地铁直达/7000起销售岗,安徽丰和工程设计咨询有限公司,民营公司,0.8-1万/月,合肥-滨湖新区,,10-14,"['合肥-滨湖新区', '无需经验', '大专', '招8人']"
高级运营专员,深圳市易佰网络科技有限公司,民营公司,1.2-1.6万/月,深圳-龙岗区,专业培训 入职五险一金 带薪年假 节日福利 全勤奖 加班补贴 生日会 下午茶 团建旅游,10-14,"['深圳-龙岗区', '2年经验', '本科', '招2人']"
项目经理-经营管理部,拉卡拉支付集团,合资,0.8-1.5万/月,上海-浦东新区,五险一金 员工旅游 绩效奖金 年终奖金,10-14,"['上海-浦东新区', '2年经验', '大专', '招1人']"
网店美工/视觉设计师,乐麦信息技术（杭州）有限公司,外资（非欧美）,4-7千/月,杭州-滨江区,做五休二 五险一金 绩效奖金 带薪年假 节日福利,10-14,"['杭州-滨江区', '无需经验', '大专', '招若干人']"
产品总监——商用网络产品线 (MJ001332),上海商米科技集团股份有限公司,民营公司,3.5-6万/月,深圳-南山区,,10-14,"['深圳-南山区', '5-7年经验', '本科', '招1人']"
亚马逊运营专员,深圳市麦洋科技有限公司,民营公司,0.8-1.2万/月,深圳-龙华区,全勤奖 绩效奖金 带薪年假 年终奖金 五险 节日福利 员工旅游 聚餐补贴 下午茶,10-14,"['深圳-龙华区', '1年经验', '大专', '招2人']"
电商经理,广东尼燊电子商务有限公司,民营公司,1.5-2.5万/月,广州,五险一金 补充医疗保险 年终奖金 弹性工作 定期体检 员工旅游 专业培训,10-14,"['广州', '无需经验', '大专', '招若干人']"
电商运营,广州冠译电子商务有限公司,民营公司,6-8千/月,杭州,,10-14,"['杭州', '3-4年经验', '大专', '招2人']"
Amazon运营-现有爆款,江门市腾丰科技有限公司,创业公司,0.6-1.1万/月,江门-新会区,带薪年假 绩效奖金 节日福利 购买社保 大小周,10-14,"['江门-新会区', '1年经验', '大专', '招1人']"
淘系客服,成都东英测量仪器有限公司,民营公司,4.5-6千/月,成都-金牛区,带薪年假 专业培训 全勤奖 绩效奖金,10-14,"['成都-金牛区', '1年经验', '大专', '招2人']"
区域销售经理/城市经理（山西省）,爱逸（厦门）食品科技有限公司,合资,0.8-1.2万/月,太原,五险一金 通讯补贴 年终奖金 交通补贴 出差补贴 绩效奖金 高提成 发展空间大 带薪年假,10-14,"['太原', '3-4年经验', '大专', '招1人']"
销售经理,上海特易信息科技有限公司,合资,0.6-1.2万/月,杭州-滨江区,五险一金 绩效奖金 定期体检 周末双休 带薪年假,10-14,"['杭州-滨江区', '3-4年经验', '大专', '招1人']"
样品员,深圳市飞利瑞科技有限公司,民营公司,4.5-6千/月,深圳-宝安区,包住宿 带薪年假 节日福利 专业培训,10-14,"['深圳-宝安区', '1年经验', '高中', '招3人']"
门店导购,浙江党牌网络科技有限公司,民营公司,0.5-1万/月,金华,专业培训 绩效奖金 年终奖金,10-14,"['金华', '3-4年经验', '高中', '招5人']"
跨境电商助理,上海钰祺网络科技有限公司,创业公司,0.6-1万/月,上海-徐汇区,五险一金 员工旅游 出国机会 绩效奖金 年终奖金 周末双休 做五休二 节日福利 带薪年假,10-14,"['上海-徐汇区', '无需经验', '大专', '招2人']"
电话销售,湖南文诚商务咨询有限公司,合资,1-1.5万/月,长沙-开福区,周末双休 专业培训 五险 全勤奖 节日福利 餐饮补贴 交通补贴,10-14,"['长沙-开福区', '无需经验', '中专', '招10人']"
月薪8K淘宝客服（在家晚班）,道格集团,民营公司,6-8千/月,深圳-南山区,弹性工作 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 交通补贴 高提成 加班补贴,10-14,"['深圳-南山区', '1年经验', '中专', '招若干人']"
在线客服专员,北京速通网电子商务有限公司,民营公司,4-6千/月,北京-朝阳区,五险一金 绩效奖金 餐饮补贴 专业培训 年终奖金,10-14,"['北京-朝阳区', '1年经验', '中专', '招1人']"
客服专员,马拉丁童装,民营公司,6-8千/月,杭州-西湖区,绩效奖金 年终奖金 舒适办公环境 团队氛围好 温馨有爱 节日福利 培训 定期体检 员工旅游 五险一金,10-14,"['杭州-西湖区', '1年经验', '大专', '招1人']"
售后运维,武汉利楚商务服务有限公司,民营公司,4.5-6千/月,武汉-武昌区,员工旅游 专业培训 绩效奖金 年终奖金 全勤奖 节日福利 弹性工作 带薪年假 五险一金,10-14,"['武汉-武昌区', '1年经验', '大专', '招1人']"
速卖通运营,卓创国际香港有限公司,民营公司,0.8-1万/月,深圳-龙岗区,五险一金 绩效奖金 年终奖金 员工旅游 专业培训 定期体检 弹性工作,10-14,"['深圳-龙岗区', '2年经验', '本科', '招1人']"
亚马逊销售主管,慧超电子商务科技（深圳）有限公司,合资,1.2-2万/月,深圳-南山区,五险一金 带薪年假 绩效奖金 专业培训 周末双休 补充公积金 员工旅游 弹性工作,10-14,"['深圳-南山区', '3-4年经验', '大专', '招1人']"
阿里巴巴国际站运营,苏州黑马网络科技有限公司,民营公司,0.8-1万/月,常熟,节日福利 绩效奖金 带薪年假 五险一金,10-14,"['常熟', '无需经验', '大专', '招若干人']"
售前客服轻松不加班无责底薪4000,安徽盈点文化发展有限公司,民营公司,6-8千/月,合肥-蜀山区,节日福利 五险 绩效奖金 专业培训 生日福利,10-14,"['合肥-蜀山区', '无需经验', '高中', '招10人']"
渠道专员,苏州顺理成章网络信息科技有限公司,民营公司,1-1.5万/月,苏州-高新区,,10-14,"['苏州-高新区', '2年经验', '中专', '招4人']"
电商运营经理,广州无添加主义化妆品有限公司,民营公司,1.5-3万/月,广州-天河区,,10-14,"['广州-天河区', '无需经验', '本科', '招1人']"
销售经理,河南登荣网络科技有限公司,民营公司,1-1.5万/月,大连,五险一金 员工旅游 绩效奖金 年终奖金 专业培训,10-14,"['大连', '1年经验', '高中', '招若干人']"
淘宝网店店长,晋江市吉鑫食品有限公司,民营公司,4.5-6千/月,泉州-晋江市,,10-14,"['泉州-晋江市', '无需经验', '招2人']"
天猫运营,上海栖云贸易有限公司,民营公司,1-1.5万/月,上海-嘉定区,节日福利,10-14,"['上海-嘉定区', '1年经验', '本科', '招1人']"
亚马逊站外推广 (KOL运营和Deal促销站),深圳市佰飞科技创新有限公司,民营公司,0.8-1.5万/月,深圳-龙华区,弹性工作 五险一金 带薪年假 下午茶 团建活动 专业培训,10-14,"['深圳-龙华区', '1年经验', '大专', '招若干人']"
